code_departement_prestation,records
75,12951
59,8548
13,7022
69,5830
33,5280
93,5012
92,4913
62,4839
83,4469
78,4449
76,4295
94,4195
06,4007
31,3929
34,3710
91,3691
77,3535
95,3420
44,3207
67,2728
38,2474
35,2398
54,2398
57,2319
74,2296
45,2165
29,2152
42,2036
60,2035
17,1967
30,1878
64,1812
87,1802
63,1779
73,1731
14,1719
974,1596
49,1583
80,1568
56,1559
27,1546
37,1532
01,1497
51,1402
40,1400
28,1389
84,1359
25,1338
68,1317
86,1312
85,1299
66,1275
72,1262
21,1237
972,1232
50,1194
26,1185
11,1173
71,1141
02,1127
971,1028
10,1000
16,920
973,917
22,911
47,882
18,843
41,813
88,784
20A,779
24,763
79,697
07,678
58,674
19,660
03,656
65,633
82,629
89,625
97,616
12,610
55,605
05,596
04,560
39,557
52,546
20B,538
36,527
81,519
08,496
43,491
90,467
32,453
61,409
09,398
46,372
70,356
23,331
53,317
15,299
20,260
976,257
48,213
978,123
975,78
99,43
987,35
988,18
98,15
970,7
977,7
2A,5
20b,4
5,3
7,2
20a,2
BP,1
"54,",1
027,1
073,1
A,1
017,1
00,1
77l,1
980,1
3,1
8,1
696,1
