code_departement,records
75,151550
59,77474
13,71816
92,69483
93,61923
69,60790
78,56611
94,55832
91,52396
33,52065
62,51330
77,50149
83,48020
95,47567
76,46646
31,43080
6,42044
34,40484
44,40074
67,33009
38,32778
35,30906
57,30665
60,26623
54,26233
74,25471
30,24606
45,24276
29,23651
80,23497
14,23082
84,22923
27,22583
68,22145
17,21944
56,21650
42,21313
974,20275
49,19411
73,19075
51,19064
1,18631
64,18425
2,18187
50,17909
63,17532
21,17481
25,17403
85,16807
40,16453
66,15654
37,15446
72,15358
71,15001
22,14835
87,14818
971,14391
28,14255
26,13892
86,13610
10,13536
88,13409
973,13250
11,13099
972,12957
20A,11576
16,11420
55,10993
61,10877
4,10833
24,10472
52,10251
47,10227
89,9830
65,9740
5,9636
18,9618
20B,9526
58,9220
41,9075
39,8910
3,8883
8,8719
12,8632
79,8572
90,8455
82,8244
81,8220
53,8146
7,7831
70,7799
19,7477
976,7426
32,6509
36,6489
43,6099
9,5867
46,4954
15,4324
23,3888
48,3535
978,1402
975,470
99,425
987,369
977,290
988,281
986,33
