nomacheteur,records
Nantes Métropole,3550
Rennes Métropole,2492
Conseil régional des Pays de la Loire,2270
Ville de Rennes,1853
METROPOLE ROUEN NORMANDIE,1690
Région Bretagne,1616
Le Mans Métropole - Communauté Urbaine,1588
Lorient Agglomération,1551
Ville du Havre,1345
CHU de Nantes,1342
DEPARTEMENT DU CALVADOS,1324
Département d'Ille et Vilaine,1276
Région Normandie,1256
Ville de Nantes,1215
Brest métropole,1163
Angers Loire Métropole,1082
Département du Finistère,1061
CENTRE HOSPITALIER UNIVERSITAIRE,1057
Ville du Mans,1025
Département de Maine-et-Loire,1023
Département de la Vendée,1012
CHERBOURG-EN-COTENTIN,1006
GPMH au Havre,994
Métropole Rouen Normandie,975
CH LE MANS,972
Conseil départemental Loire-Atlantique,923
Département de l'Eure,907
DEPARTEMENT DE LA SARTHE,898
LE HAVRE SEINE METROPOLE,876
Département de Seine-Maritime,831
ESID de Rennes,827
Ville de Caen,801
Ville de Vannes,801
ESID de Brest,793
Université d'Angers,791
DEPARTEMENT DE LA SEINE-MARITIME,786
Université de Nantes,783
COMMUNE DE NANTES,781
DEPARTEMENT DE LA MANCHE,776
Département de Seine Maritime,753
Conseil Général du Calvados,748
Département des Côtes d'Armor,726
SCE DEPARTEMENTAL INCENDIE ET SECOURS,713
Communauté d'Agglomération du Cotentin,708
MINDEF/SCA/PFAF OUEST,705
CTRE HOSP UNIVERSITAIRE ANGERS,705
Conseil général de la Vendée,704
Ville d'Angers,704
Université de Rouen,699
Conseil départemental de l'Orne,699
Communauté Urbaine Caen la mer,669
Communauté d'Agglomération Caux vallée,655
CH REG ET UNVT DE BREST,654
CTRE HOSPITALIER UNIVERS PONTCHAILLOU,643
DEPARTEMENT DE LA MAYENNE,618
CA EVREUX PORTES DE NORMANDIE,615
Ville de Grand Quevilly,604
Département de la Sarthe,603
CHU-Hôpitaux de Rouen,603
Saint-Brieuc Agglomération,598
Ville de Lorient,596
GPM de Nantes - St Nazaire,577
Ville de Quimper,572
COMMUNE DE SAINT NAZAIRE,568
Université de Bretagne Occidentale,561
Ville de Saint-Malo,559
Ville de Rouen,550
Université de Caen Normandie,549
COM D AGGLO REG NAZAIRIENNE ESTUAIRE,547
COMMUNE DE ROUEN,532
Commune de Saint-Herblain,523
CHD VENDEE,520
DEPARTEMENT DU MORBIHAN,509
SEMITAN,503
MARINE/DCSSF/ DSSFBrest,500
Conseil Général de l'Eure,491
Etab Public Foncier de Normandie,486
Le Mans Métropole,486
Ville d'Alençon,475
Conseil départemental de la Manche,467
Département du Morbihan,458
Concarneau Cornouaille Agglomération,453
Metropole Rouen Normandie,451
Ports Normands Associés,448
Département de la Manche,443
Auray Quiberon Terre Atlantique,440
Centre Hospitalier de Laval (53),439
Cté de Cnes du Pays d'Ancenis,433
CENTRE HOSPITALIER SAINT BRIEUC,430
MINDEF/EMA/DC SCA/PFAF CO Rennes,428
GROUPE HOSPITALIER DU HAVRE,428
CCI METROPOLITAINE BRETAGNE OUEST,421
