field,missing_records,missing_share
code_departement_prestation,1429159,0.8818093529263682
titulaire,1271870,0.7847600313936097
datelimitereponse,903616,0.5575426109018752
type_marche,276491,0.1705984777060946
source_schema,225331,0.13903210440843283
type_procedure,126978,0.07834704747049445
type_avis,69822,0.04308106560573378
code_departement,606,0.0003739097384359467
datefindiffusion,56,3.455271510299177e-05
nature_libelle,15,9.255191545444225e-06
nature,15,9.255191545444225e-06
objet,2,1.2340255393925633e-06
idweb,0,0.0
dateparution,0,0.0
procedure_libelle,0,0.0
famille,0,0.0
famille_libelle,0,0.0
nomacheteur,0,0.0
id,0,0.0
url_avis,0,0.0
