sample_id,benchmark_split,sampling_stratum,stratum_population_n,stratum_sample_n,inclusion_probability,sampling_weight,anchor_episode_id,anchor_notice_ids_json,anchor_award_notice_date,anchor_expected_end_date,anchor_buyer_siren,anchor_buyer_name,anchor_regions_json,anchor_cpv_codes_json,anchor_theme,anchor_duration_months,anchor_text,anchor_urls_json,broad_candidate_pool_n,review_candidates_exported_n,reviewer_1_outcome,reviewer_1_successor_episode_ids,reviewer_1_confidence,reviewer_1_evidence_urls,reviewer_1_notes,reviewer_2_outcome,reviewer_2_successor_episode_ids,reviewer_2_confidence,reviewer_2_evidence_urls,reviewer_2_notes,adjudicated_outcome,adjudicated_successor_episode_ids,adjudication_confidence,adjudication_evidence_urls,adjudication_notes,annotation_status,final_outcome,final_successor_episode_ids,final_confidence,final_evidence_urls,final_reason,primary_evaluation_eligible,quality_flag,exclusion_reason,review_method,source_coverage,review_date,reference_version
RV-001,PILOT_DEVELOPMENT,CPV-32|buyer_id|duration,48,12,0.25,4.0,EP-95499bedb1e980f8,"[""18-146639"", ""19-67124""]",2019-04-28,2020-04-28,247200132.0,Le Mans Métropole - Communauté Urbaine,"[""Pays de la Loire""]","[""39300000"", ""43800000"", ""45259000"", ""42512500"", ""34322100"", ""31600000"", ""32236000"", ""30200000"", ""42961100""]",CPV-32,12.0,acquisition de materiels divers pour la setram les prestations sont reparties en 15 lots les variantes ne sont pas autorisees sauf pour le lot no11 variante exigee pour doubler l autonomie des deux types d onduleurs station de distribution de liquide de refroidissement passerelle d acces aux pavillons des autobus renovation des brosses du tunnel de lavage ensemble cvs u750 p13 climatisation salle soprano type 2 tiroir frein racks transport climatisation cabine distribution centralisee de produit lave glace en station service potence et palan 250 kg atelier roues rampes de pulverisation produit anti calcaire en machine a laver profilometre de rail onduleurs stations voyageurs appareil portable de mesure de pression acquisition de 10 radiotelephones portatifs tetra fourniture et installation de materiel informatique et de logiciels pour la setram controle d acces,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-146639"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-67124""]",501,25,,,,,,,,,,,,,,,,NOT_STARTED,OUTSIDE_SCOPE,[],HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-146639"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-67124""]",Mixed SETRAM equipment procurement dominated by general operational equipment rather than a clearly defined digital contract.,False,,Anchor is outside the intended digital-procurement scope.,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-002,PILOT_DEVELOPMENT,CPV-48|buyer_id|duration_missing,14,7,0.5,2.0,EP-196eb8476722f479,"[""18-152232"", ""20-49689""]",2020-04-09,,781107446.0,HABITAT 76,"[""Normandie""]","[""48781000"", ""50324100"", ""72230000""]",CPV-48,,renouvellement du systeme d information ressources humaines en mode saas modules paies gestion administrative gestion des temps et des activites renouvellement du systeme d information ressources humaines en mode saas modules paies gestion administrative gestion des temps et des activitesforme de marche ordinaire attribution d un marche unique le delai d execution des prestations est de 60 mois,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-152232"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-49689""]",40,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-152232"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-49689"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-16150"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-112471"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-75704"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-50332"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-40468"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-90944""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-003,PILOT_DEVELOPMENT,CPV-32|buyer_id|duration,48,12,0.25,4.0,EP-942e1a0a861bb53e,"[""21-137784"", ""22-19361""]",2022-02-09,2023-02-10,200069839.0,Cté de Cnes de la Côte d'Albatre,"[""Normandie""]","[""37300000"", ""37313000"", ""37314000"", ""37312000"", ""37311000"", ""37316000"", ""37321500"", ""32342410"", ""37315000"", ""37000000"", ""37313300"", ""37480000""]",CPV-32,12.0,"acquisition d instruments et materiels de musique le conservatoire musique et danse de la cote d albatre est un etablissement classe par l etat a rayonnement intercommunal ayant pour mission centrale la sensibilisation et la formation aux pratiques artistiques et culturelles ainsi il est necessaire de lancer une consultation pour la mise en place d un accord cadre multi attributaires pour l acquisition d instruments et materiels de musique danse et theatre l accord cadre est decompose en 10 lots le nombre d operateurs economiques retenus pour chaque lot sera au nombre de 3 sous reserves d un nombre suffisant de candidats et d offres les marches subsequents conclus sur la base de l accord cadre sont fractionnes a bons de commande ces marches subsequents seront attribues apres mise en concurrence des titulaires des differents lots et selon survenance du besoin instruments a cordes instruments a cordes violon d etude adapte aux debutants et violon 1 8 1 4 1 2 3 4 et entier livres avec etui archet et colophane alto d etude adapte aux debutants et alto 1 8 1 4 1 2 3 4 et entier livres avec etui archet et colophane violoncelle d etude adapte aux debutants et violoncelle sculpte main d etude 1 8 1 4 1 2 3 4 et entier livres avec housse archet et colophane contrebasse d etude et contrebasse 1 4 1 2 3 4 et entier laminees fond bombe eclisses flammees garniture en bois dur mecanique tyrolienne livree avec housse archet et colophane instruments a vent bois instruments a vent bois flute piccolo flute petite main d etude flute d etude flute en sol modele professionnel flute basse hautbois d etude cor anglais clarinette sib d etude clarinette sib instrument haute qualite dans la gamme etude clarinette en ut petite main en ut clarinette en la 440 saxophone soprano professionnel clarinette mib clarinette basse sib saxophone soprano saxophone alto d etude saxophone alto saxophone tenor d etude saxophone baryton basson d etude en fa basson bois instruments a vent cuivre instruments a vent cuivre trompette piccolo trompette piccolo professionnelle trompette petite main sib trompette sib modele d etude trompette ut ou sib professionnelle cornet a pistons d etude cornet a pistons bugle sib d etude trombone d initiation trombone petite main trombone etude complet trombone basse cor petite main d etude cor simple cor naturel petites mains cor naturel a tons cor double modele semi professionnel saxhorn baryton euphonium miniature tuba en sib tuba ut tuba en mib soubassophone tonalite claviers claviers piano numerique piano droit d etude tabouret piano piano a queue 1 4 piano a queue 1 2 piano a queue 3 4 piano a queue de concert accordeon instruments de percussions et materiels instruments de percussions et materiels batterie tom batteries timbales flight case pour timbales xylophone vibraphone marimba tam tam gong thailandais portique pour gongs tam tam chinois cymbales d orchestre glockenspiel caisse claire grosse caisse materiels de sonorisations lumieres materiels de sonorisations lumieres micros boite de direct active d i console lumiere flight pour console lumiere bloc de puissance tourelle pour pied tube aluminium enregistreur stage pass valise de transport adaptee au stage pass pieds pour enceintes stages pass lecteur dvd pied de projecteur tourelle pour fixation de projecteur sur pied projecteurs 650 w materiels de danse materiels de danse barre de danse tapis de danse miroir de danse guitares guitares ampli guitare basse guitare basse pour enfant guitare basse guitare acoustique 1 2 guitare acoustique 3 4 guitare electrique d etudes et professionnelle ampli guitare electrique structures sonores structures sonores l etoile le disque le chandelier le double ressort le tige courbe le tige droite l escalier les cordes l arc la grille le ressort le sifflant le trois croix le cristal materiels scenographiques theatre ce lot comprend l achat de pendrillon jupe de scene pour praticable toile velum 
 acquisition d instruments et materiels de musique le conservatoire musique et danse de la cote d albatre est un etablissement classe par l etat a rayonnement intercommunal ayant pour mission centrale la sensibilisation et la formation aux pratiques artistiques et culturelles ainsi il est necessaire de lancer une consultation pour la mise en place d un accord cadre multi attributaires pour l acquisition d instruments et materiels de musique danse et theatre l accord cadre est decompose en 10 lots le nombre d operateurs economiques retenus pour chaque lot sera au nombre de 3 sous reserves d un nombre suffisant de candidats et d offres les marches subsequents conclus sur la base de l accord cadre sont fractionnes a bons de commande ces marches subsequents seront attribues apres mise en concurrence des titulaires des differents lots et selon survenance du besoin instruments a cordes instruments a cordes violon d etude adapte aux debutants et violon 1 8 1 4 1 2 3 4 et entier livres avec etui archet et colophane alto d etude adapte aux debutants et alto 1 8 1 4 1 2 3 4 et entier livres avec etui archet et colophane violoncelle d etude adapte aux debutants et violoncelle sculpte main d etude 1 8 1 4 1 2 3 4 et entier livres avec housse archet et colophane contrebasse d etude et contrebasse 1 4 1 2 3 4 et entier laminees fond bombe eclisses flammees garniture en bois dur mecanique tyrolienne livree avec housse archet et colophane instruments a vent bois instruments a vent bois flute piccolo flute petite main d etude flute d etude flute en sol modele professionnel flute basse hautbois d etude cor anglais clarinette sib d etude clarinette sib instrument haute qualite dans la gamme etude clarinette en ut petite main en ut clarinette en la 440 saxophone soprano professionnel clarinette mib clarinette basse sib saxophone soprano saxophone alto d etude saxophone alto saxophone tenor d etude saxophone baryton basson d etude en fa basson bois instruments a vent cuivre instruments a vent cuivre trompette piccolo trompette piccolo professionnelle trompette petite main sib trompette sib modele d etude trompette ut ou sib professionnelle cornet a pistons d etude cornet a pistons bugle sib d etude trombone d initiation trombone petite main trombone etude complet trombone basse cor petite main d etude cor simple cor naturel petites mains cor naturel a tons cor double modele semi professionnel saxhorn baryton euphonium miniature tuba en sib tuba ut tuba en mib soubassophone tonalite claviers claviers piano numerique piano droit d etude tabouret piano piano a queue 1 4 piano a queue 1 2 piano a queue 3 4 piano a queue de concert accordeon instruments de percussions et materiels instruments de percussions et materiels batterie tom batteries timbales flight case pour timbales xylophone vibraphone marimba tam tam gong thailandais portique pour gongs tam tam chinois cymbales d orchestre glockenspiel caisse claire grosse caisse materiels de sonorisations lumieres materiels de sonorisations lumieres micros boite de direct active d i console lumiere flight pour console lumiere bloc de puissance tourelle pour pied tube aluminium enregistreur stage pass valise de transport adaptee au stage pass pieds pour enceintes stages pass lecteur dvd pied de projecteur tourelle pour fixation de projecteur sur pied projecteurs 650 w materiels de danse materiels de danse barre de danse tapis de danse miroir de danse guitares guitares ampli guitare basse guitare basse pour enfant guitare basse guitare acoustique 1 2 guitare acoustique 3 4 guitare electrique d etudes et professionnelle ampli guitare electrique structures sonores structures sonores l etoile le disque le chandelier le double ressort le tige courbe le tige droite l escalier les cordes l arc la grille le ressort le sifflant le trois croix le cristal materiels scenographiques theatre ce lot comprend l achat de pendrillon jupe de scene pour praticable toile velum instruments percussions et materiels sonorisations lumieres materiels scenographiques theatre","[""https://www.boamp.fr/pages/avis/?q=idweb:21-137784"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-19361""]",74,25,,,,,,,,,,,,,,,,NOT_STARTED,OUTSIDE_SCOPE,[],HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:21-137784"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-19361""]",Musical instruments and music equipment are not part of the intended public-sector digital procurement scope.,False,,Anchor is outside the intended digital-procurement scope.,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-004,PILOT_DEVELOPMENT,CPV-72|buyer_id|duration,194,7,0.0360824742268041,27.714285714285715,EP-a0a604b69ebe8a9d,"[""16-111867"", ""17-6770""]",2017-01-18,2023-01-19,224900019.0,Département de Maine-et-Loire,"[""Pays de la Loire""]","[""72210000"", ""72267000""]",CPV-72,72.0,"integration du systeme d archivage electronique as lae sur une infrastructure mutualisee integration du systeme d archivage electronique as lae sur une infrastructure mutualisee prestations d integration prestations de mise en uvre associees conduite de projet analyse et parametrage formations et transferts de competences assistance au demarrage developpement des connecteurs et des interfaces maintenance applicative integration de la solution prestations de mise en uvre associees conduite de projet analyse et parametrage formations et transferts de competences assistance au demarrage developpement des connecteurs et des interfaces maintenance applicative sur 5 ans 
 integration du systeme d archivage electronique as lae sur une infrastructure mutualisee integration du systeme d archivage electronique as lae sur une infrastructure mutualisee","[""https://www.boamp.fr/pages/avis/?q=idweb:16-111867"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-6770""]",685,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-111867"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-6770"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-17061"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-127882"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-16811""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-005,PILOT_DEVELOPMENT,CPV-72|buyer_id_missing|duration_missing,148,7,0.0472972972972973,21.142857142857142,EP-a1f43565ecf3f144,"[""15-89263"", ""15-114816""]",2015-07-23,,,Vendée Eau,"[""Pays de la Loire""]","[""72322000""]",CPV-72,,divers secteurs releves altimetriques et geometriques des ouvrages de distribution d eau potable pour le compte de la vendee eau a la roche sur yon divers secteurs releves altimetriques et geometriques des ouvrages de distribution d eau potable reservoirs sur tour reservoirs au sol surpressions chlorations,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-89263"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-114816""]",297,25,,,,,,,,,,,,,,,,NOT_STARTED,OUTSIDE_SCOPE,[],HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:15-89263"", ""https://www.boamp.fr/pages/avis/?q=idweb:15-114816""]",Topographic and geometric surveys of water facilities are not a digital contract under the intended study definition.,False,,Anchor is outside the intended digital-procurement scope.,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-006,PILOT_DEVELOPMENT,CPV-48|buyer_id_missing|duration,333,8,0.024024024024024,41.625,EP-9fed0f1a3dcf8581,"[""16-94123"", ""16-101619"", ""16-163508""]",2016-11-12,2020-03-14,,Ecole Normale Supérieure Rennes,"[""Bretagne""]","[""38652120"", ""38653400"", ""48322000""]",CPV-48,40.0,"amelioration du systeme immersif de la plateforme immermove en 2 lots separes la presente consultation a pour objet l amelioration de la plateforme de realite virtuelle installee courant 2015 elle comprend l extension de la plateforme immersive lot1 ainsi que l amelioration des capacites de tracking lot2 extension de la salle immersive fourniture et installation d un ecran lateral en toile tendue de 3 videoprojecteurs avec systeme d isolation sonore d un logiciel graphique complementaire garantie et maintenance amelioration des capacites de tracking fourniture de 6 cameras de capture de mouvements garantie et maintenance 
 amelioration du systeme immersif de la plateforme immermove en 2 lots separes pour l ecole normale superieure rennes campus de ker lann a bruz rectificatif amelioration du systeme immersif de la plateforme immermove en 2 lots separes la presente consultation a pour objet l amelioration de la plateforme de realite virtuelle installee courant 2015 elle comprend l extension de la plateforme immersive lot1 ainsi que l amelioration des capacites de tracking lot2 
 amelioration du systeme immersif de la plateforme immermove en 2 lots separes la presente consultation a pour objet l amelioration de la plateforme de realite virtuelle installee courant 2015 elle comprend l extension de la plateforme immersive lot1 ainsi que l amelioration des capacites de tracking lot2 extension de la salle immersive fourniture et installation d un ecran lateral de videoprojecteurs avec systeme d isolation sonore d un logiciel graphique complementaire garantie et maintenance amelioration des capacites de tracking fourniture de 6 cameras de capture de mouvements garantie et maintenance extension de la plateforme immersive","[""https://www.boamp.fr/pages/avis/?q=idweb:16-94123"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-101619"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-163508""]",7,7,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-94123"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-101619"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-163508"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-155397"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-31064"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-157182"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-1345""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-007,PILOT_DEVELOPMENT,CPV-35|buyer_id_missing|duration_missing,4,4,1.0,1.0,EP-e837cfb05b714924,"[""17-2928""]",2017-01-08,,,Ville de Thouaré-sur-Loire,"[""Pays de la Loire""]","[""35120000""]",CPV-35,,marche pour la fourniture la mise en oeuvre et la maintenance d un systeme de video protection urbaine la ville de thouare sur loire souhaite mettre en oeuvre un systeme complet de video protection urbaine qui s inscrit dans le schema directeur de prevention de surete de securite et de tranquillite qu elle a adopte suite a un audit de surete mais egalement aux besoins actuels ou futurs de certains locaux communaux comme de la telephonie sur ip les acces internet ou encore les raccordements d equipements informatique tels que gtb alarmes etc,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-2928""]",47,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-2928"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-83295"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-157547"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-72768"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-157275"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-53038""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-008,PILOT_DEVELOPMENT,CPV-35|buyer_id|duration,3,3,1.0,1.0,EP-b12dd4df38d8c59f,"[""20-114585"", ""20-152953""]",2020-12-17,2021-02-16,192903466.0,Université de Bretagne Occidentale,"[""Bretagne""]","[""38970000"", ""38900000"", ""35125100"", ""33122000""]",CPV-35,2.0,"acquisition de materiel pour le projet cper vitaal 2020 nouveaux environnements interactifs d accompagnement et tele reeducation projet cper vitaal 2020 robot de tele presence robot mobile de tele presence terrestre capteurs de localisation uwb capteurs de positionnement uwb base mobile humanoide robot mobile de tele presence compose d une base roulante d un organe de controle i e tablette et d un bras manipulateur systeme de realite virtuelle systeme de realite virtuelle comportant differents equipements systeme acquisition d image de retine acquisition d un tomographe par coherence optique angiographique retinographe portable acquisition d un retinographe non mydriatique portable plateforme d orthoptie numerique plateforme d orthoptie numerique avec occulometre retinographe grand champ retinographe non mydriatique grand champ 
 acquisition de materiel pour le projet cper vitaal 2020 nouveaux environnements interactifs d accompagnement et tele reeducation projet cper vitaal 2020 robot de tele presence robot mobile de tele presence terrestre capteurs de localisation uwb capteurs de positionnement uwb base mobile humanoide robot mobile de tele presence compose d une base roulante d un organe de controle i e tablette et d un bras manipulateur systeme de realite virtuelle systeme de realite virtuelle comportant differents equipements systeme acquisition d image de retine acquisition d un tomographe par coherence optique angiographique retinographe portable acquisition d un retinographe non mydriatique portable plateforme d orthoptie numerique plateforme d orthoptie numerique avec occulometre retinographe grand champ retinographe non mydriatique grand champ capteurs de positionnement retinographie portable retinographie grand champ","[""https://www.boamp.fr/pages/avis/?q=idweb:20-114585"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-152953""]",149,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-114585"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-152953"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-35884"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-39931"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-99974"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-163581"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-62964"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-160907"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-38609""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-009,PILOT_DEVELOPMENT,CPV-48|buyer_id|duration_missing,14,7,0.5,2.0,EP-ff502dee20fab2ca,"[""16-44222"", ""16-96508""]",2016-07-01,,775700198.0,GPMH au Havre,"[""Normandie""]","[""48443000""]",CPV-48,,"migration technique de la version sap ecc5 vers sap ecc6 au havre migration technique de la version sap ecc5 vers sap ecc6 les prestations de la presente consultation se decomposent en deux parties principales leur deroulement pouvant etre mene en partie simultanement selon le planning et la demarche proposes par le titulaire du marche une premiere partie d installation de sap et du sgbd oracle sur les infrastructures fournies par le gpmh une deuxieme partie concernant la migration d ecc5 vers ecc6il faut entendre par migration le report dans la nouvelle version de l ensemble des fonctionnalites et specificites existantes en privilegiant l utilisation et l optimisation du standard du progiciel afin d apporter aux utilisateurs des ameliorations dans leur utilisation quotidienne a titre indicatif l execution des prestations objet du marche est susceptible de commencer dans le courant du mois de juin 2016 
 migration technique de la version sap ecc5 vers sap ecc6 les prestations de la presente consultation se decomposent en deux parties principales leur deroulement pouvant etre mene en partie simultanement selon le planning et la demarche proposes par le titulaire du marche une premiere partie d installation de sap et du sgbd oracle sur les infrastructures fournies par le gpmh une deuxieme partie concernant la migration d ecc5 vers ecc6 il faut entendre par migration le report dans la nouvelle version de l ensemble des fonctionnalites et specificites existantes en privilegiant l utilisation et l optimisation du standard du progiciel afin d apporter aux utilisateurs des ameliorations dans leur utilisation quotidienne a titre indicatif l execution des prestations objet du marche est susceptible de commencer dans le courant du mois de juin 2016 migration technique de la version sap ecc vers sap ecc6 migration technique de la version sap ecc5 vers sap ecc6","[""https://www.boamp.fr/pages/avis/?q=idweb:16-44222"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-96508""]",356,25,,,,,,,,,,,,,,,,NOT_STARTED,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-44222"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-96508"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-17184"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-27864"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-40449"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-143909"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-88121"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-101072"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-91329"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-158951""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
RV-010,PILOT_DEVELOPMENT,CPV-32|buyer_id|duration,48,12,0.25,4.0,EP-a547673afe2dda78,"[""20-68552"", ""20-123573""]",2020-10-11,2021-10-12,192903466.0,Université de Bretagne Occidentale,"[""Bretagne""]","[""32420000"", ""32400000""]",CPV-32,12.0,"accord cadre de fourniture d equipements de reseaux informatiques accord cadre multi attributaire a marches subsequents pour la fourniture d equipements de reseaux informatiques sans montant minimum ni maximum 
 accord cadre de fourniture d equipements de reseaux informatiques accord cadre multi attributaire a marches subsequents pour la fourniture d equipements de reseaux informatiques sans montant minimum ni maximum accord cadre de fourniture d equipements de reseaux informatiques1er co attributaire accord cadre de fourniture d equipements de reseaux informatiques 2eme co attributaire accord cadre de fourniture d equipements de reseaux informatiques 3eme co attributaire accord cadre de fourniture d equipements de reseaux informatiques 4eme co attributaire","[""https://www.boamp.fr/pages/avis/?q=idweb:20-68552"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-123573""]",155,25,,,,,,,,,,,,,,,,NOT_STARTED,OBSERVED_SUCCESSOR,"[""EP-30ed99860ba06292""]",MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-68552"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-123573"", ""https://www.boamp.fr/pages/avis/?q=idweb:25-26886""]",Same UBO buyer and a later procurement to refit the university computer networks; the functional network need continues in a new procedure.,True,,,SINGLE_EVIDENCE_REVIEW_SUPPLIED_BOAMP_CORPUS,BOAMP supplied corpus and official notice URLs; no exhaustive TED/DECP search,2026-08-11,internship_v1.0
