sample_id,benchmark_split,sampling_stratum,sampling_weight,anchor_episode_id,anchor_award_notice_date,anchor_expected_end_date,anchor_buyer_siren,anchor_buyer_name,anchor_theme,anchor_duration_months,final_outcome,final_successor_episode_ids,final_confidence,final_evidence_urls,final_reason,reference_version
RV-002,PILOT_DEVELOPMENT,CPV-48|buyer_id|duration_missing,2.0,EP-196eb8476722f479,2020-04-09,,781107446.0,HABITAT 76,CPV-48,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:18-152232"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-49689"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-16150"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-112471"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-75704"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-50332"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-40468"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-90944""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-004,PILOT_DEVELOPMENT,CPV-72|buyer_id|duration,27.714285714285715,EP-a0a604b69ebe8a9d,2017-01-18,2023-01-19,224900019.0,Département de Maine-et-Loire,CPV-72,72.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-111867"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-6770"", ""https://www.boamp.fr/pages/avis/?q=idweb:23-17061"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-127882"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-16811""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-006,PILOT_DEVELOPMENT,CPV-48|buyer_id_missing|duration,41.625,EP-9fed0f1a3dcf8581,2016-11-12,2020-03-14,,Ecole Normale Supérieure Rennes,CPV-48,40.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-94123"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-101619"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-163508"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-155397"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-31064"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-157182"", ""https://www.boamp.fr/pages/avis/?q=idweb:18-1345""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-007,PILOT_DEVELOPMENT,CPV-35|buyer_id_missing|duration_missing,1.0,EP-e837cfb05b714924,2017-01-08,,,Ville de Thouaré-sur-Loire,CPV-35,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-2928"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-83295"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-157547"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-72768"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-157275"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-53038""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-008,PILOT_DEVELOPMENT,CPV-35|buyer_id|duration,1.0,EP-b12dd4df38d8c59f,2020-12-17,2021-02-16,192903466.0,Université de Bretagne Occidentale,CPV-35,2.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-114585"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-152953"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-35884"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-39931"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-99974"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-163581"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-62964"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-160907"", ""https://www.boamp.fr/pages/avis/?q=idweb:22-38609""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-009,PILOT_DEVELOPMENT,CPV-48|buyer_id|duration_missing,2.0,EP-ff502dee20fab2ca,2016-07-01,,775700198.0,GPMH au Havre,CPV-48,,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-44222"", ""https://www.boamp.fr/pages/avis/?q=idweb:16-96508"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-17184"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-27864"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-40449"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-143909"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-88121"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-101072"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-91329"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-158951""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
RV-010,PILOT_DEVELOPMENT,CPV-32|buyer_id|duration,4.0,EP-a547673afe2dda78,2020-10-11,2021-10-12,192903466.0,Université de Bretagne Occidentale,CPV-32,12.0,OBSERVED_SUCCESSOR,"[""EP-30ed99860ba06292""]",MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:20-68552"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-123573"", ""https://www.boamp.fr/pages/avis/?q=idweb:25-26886""]",Same UBO buyer and a later procurement to refit the university computer networks; the functional network need continues in a new procedure.,internship_v1.0
RV-011,PILOT_DEVELOPMENT,CPV-32|buyer_id_missing|duration,9.333333333333334,EP-761e9e86bf100636,2017-07-14,2021-07-13,,Région Bretagne,CPV-32,47.967,OBSERVED_SUCCESSOR,"[""EP-9fdcd915e2532264""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-33578"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-99912"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-40411"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-113756""]",Same Région Bretagne buyer and a later telecommunications framework covering the same fixed and mobile telecommunications need.,internship_v1.0
RV-012,PILOT_DEVELOPMENT,CPV-72|buyer_id_missing|duration,67.57142857142857,EP-be2c7634a4783b45,2017-04-05,2018-04-06,,Conseil régional des Pays de la Loire,CPV-72,12.0,OBSERVED_SUCCESSOR,"[""EP-c2d565c3cbc7ef2c""]",HIGH,"[""https://www.boamp.fr/pages/avis/?q=idweb:16-136139"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-48032"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-35651"", ""https://www.boamp.fr/pages/avis/?q=idweb:21-52670""]",Same regional buyer and a later contract explicitly continuing support for execution of the Pays de la Loire digital master plan.,internship_v1.0
RV-014,PILOT_DEVELOPMENT,CPV-32|buyer_id|duration,4.0,EP-1197203d90a7d976,2017-10-01,2020-10-01,177604303.0,Rectorat de l'Académie de Rouen,CPV-32,36.0,NO_OBSERVED_SUCCESSOR_IN_SCOPE,[],MEDIUM,"[""https://www.boamp.fr/pages/avis/?q=idweb:17-68782"", ""https://www.boamp.fr/pages/avis/?q=idweb:17-137082"", ""https://www.boamp.fr/pages/avis/?q=idweb:19-46095"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-119431"", ""https://www.boamp.fr/pages/avis/?q=idweb:20-125724""]","No later episode in the supplied BOAMP review candidates matched both the buyer continuity and the anchor's specific functional need. The reviewed candidates concerned materially different procurements. This is a corpus-relative negative, not proof that no renewal occurred.",internship_v1.0
