"Objet","Acheteur","Domaine","Région","Type","Date pub.","Date limite","URL"
"Maintenance de la Gestion Technique des Bâtiments","Institut Supérieur de l'Aéronautique et de l'Espace","cloud","Occitanie","SERVICES","2026-08-07","2026-09-16","https://www.boamp.fr/pages/avis/?q=idweb:26-78497"
"Prestations d'infogérance du système d'information du Paris Saclay Cancer Cluster","PARIS SACLAY CANCER CLUSTER","cloud","Île-de-France","SERVICES","2026-08-07","2026-09-11","https://www.boamp.fr/pages/avis/?q=idweb:26-78319"
"Acquisition, installation, paramétrage et maintenance de scanners, ainsi que maintenance des équipements déjà déployés à l’OFPRA.","OFPRA","cloud","Île-de-France","FOURNITURES","2026-08-06","2026-09-08","https://www.boamp.fr/pages/avis/?q=idweb:26-77954"
"MARCHE ASSURANCES DOMMAGES AUX BIENS/RC/FLOTTE AUTOMOBILES/CYBER RISQUES","Maison d'Enfants Les Tisserands (38)","cybersécurité","Auvergne-Rhône-Alpes","SERVICES","2026-08-06","2026-10-21","https://www.boamp.fr/pages/avis/?q=idweb:26-77888"
"Renouvellement de l'infrastructure serveurs et stockage","Commune de Marquette-lez-Lille","cloud","Hauts-de-France","SERVICES","2026-08-05","2026-08-20","https://www.boamp.fr/pages/avis/?q=idweb:26-77696"
"Maintenance corrective, évolutive et préventive de l'environnement M365","Aéroport de La Réunion Roland Garros (974)","cloud","La Réunion","SERVICES","2026-08-05","2026-08-26","https://www.boamp.fr/pages/avis/?q=idweb:26-78070"
"Accord-cadre de fournitures et services courants Achat ou location avec option d'achat de photocopieurs multifonction avec maintenance","MAIRIE DE COUTRAS","cloud","Nouvelle-Aquitaine","FOURNITURES","2026-08-05","2026-09-25","https://www.boamp.fr/pages/avis/?q=idweb:26-78058"
"Fourniture, installation, intégration, déploiement et maintenance d’un système d’information Gestionnaire de Réseau de Distribution (GRD), fournisseur et producteur d’électricité - RCM","REGIE COMMUNALE DE MONTDIDIER","cloud","Hauts-de-France","SERVICES","2026-08-02","","https://www.boamp.fr/pages/avis/?q=idweb:26-76924"
"Fourniture, déploiement, hébergement et maintenance d’un système d’information dédié aux marchés publics de la Ville de Marseille","Ville de Marseille","cloud","Provence-Alpes-Côte d'Azur","SERVICES","2026-08-02","","https://www.boamp.fr/pages/avis/?q=idweb:26-77119"
"Prestations de support, d’exploitation, de tierce maintenance applicative (TMA) des applications HR ACCESS, TalentSoft au sein du Musée du Louvre.","Musée du Louvre","cloud","Île-de-France","SERVICES","2026-08-02","2026-08-06","https://www.boamp.fr/pages/avis/?q=idweb:26-77137"
"Hébergement en mode SaaS d’un progiciel de Management Santé Sécurité Environnement","GPM Guyane","cloud","Guyane","SERVICES","2026-07-30","2026-09-03","https://www.boamp.fr/pages/avis/?q=idweb:26-75469"
"Renouvellement de la tierce maintenance applicative du SI Contentieux","CNSO Orléans","cloud","Centre-Val de Loire","SERVICES","2026-07-30","2026-09-15","https://www.boamp.fr/pages/avis/?q=idweb:26-75817"
"Prestations de support micro-informatique, numérique et prestations connexes en France (métropolitaine et ultramarine)","INSTITUT NATIONAL DE RECHERCHES ARCHEOLOGIQUES PREVENTIVES","cloud","Île-de-France","SERVICES","2026-07-30","2026-09-15","https://www.boamp.fr/pages/avis/?q=idweb:26-75847"
"Administration, maintenance et assistance informatique","SAC-SPM","cloud","Outre-mer","SERVICES","2026-07-29","2026-09-03","https://www.boamp.fr/pages/avis/?q=idweb:26-75385"
"Maintenance de la boucle optique locale (BOL) et petits travaux d'extension pour la Ville de Neuilly-sur-Seine","Ville de Neuilly-sur-Seine","cloud","Île-de-France","SERVICES","2026-07-29","2026-10-01","https://www.boamp.fr/pages/avis/?q=idweb:26-75063"
"Maintien en condition opérationnelle des systèmes radar des Centres Régionaux Opérationnels de Surveillance et de Sauvetage (CROSS) de la Manche","DGAMPA","cloud","Île-de-France","SERVICES","2026-07-29","2026-09-15","https://www.boamp.fr/pages/avis/?q=idweb:26-75359"
"MAINTENANCE DU LOGICIEL DE SURVEILLANCE DE LA TEMPERATURE ET DU CO2 - MYSIRIUS DE MARQUE JRI -ETALONNAGE DES SONDES JRI","HOPITAL NORD OUEST - VILLEFRANCHE SUR SAONE","cloud","Auvergne-Rhône-Alpes","SERVICES","2026-07-29","2026-09-21","https://www.boamp.fr/pages/avis/?q=idweb:26-75395"
"Prestations d'infogérance informatique pour le Centre de gestion de la fonction publique territoriale de l'Allier","Centre de gestion de la fonction publique territoriale de l'Allier","cloud","Auvergne-Rhône-Alpes","SERVICES","2026-07-29","2026-09-10","https://www.boamp.fr/pages/avis/?q=idweb:26-75952"
"PROCEDURE N° 2 - N° OPERATION T26_4007 ACCORDS-CADRES TRAVAUX 2027-2030 POUR LE CENTRE HOSPITALIER LE VINATIER (Lot 10 à 14)","CHU Lyon","cloud","Auvergne-Rhône-Alpes","TRAVAUX","2026-07-29","2026-09-07","https://www.boamp.fr/pages/avis/?q=idweb:26-75989"
"fourniture, la mise en oeuvre, l’exploitation, la maintenance et le support de solutions de cybersécurité au bénéfice du syndicat mixte régional e-Collectivités et de ses collectivités adhérentes.","Syndicat Mixte e-Collectivités","cloud","Pays de la Loire","FOURNITURES","2026-07-28","2026-09-09","https://www.boamp.fr/pages/avis/?q=idweb:26-75585"
"Acquisition de la maintenance et prestations associées pour le logiciel Business-Object de l'éditeur Sap","Département de la Haute-Loire","cloud","Auvergne-Rhône-Alpes","SERVICES","2026-07-27","2026-09-17","https://www.boamp.fr/pages/avis/?q=idweb:26-74886"
"26V0253 - ASSISTANCE ET MAINTENANCE HYDRAULIQUE DES PLATEFORMES AUTOTRACTEES DES CHARS DU CARNAVAL","VILLE DE NICE","cloud","Provence-Alpes-Côte d'Azur","SERVICES","2026-07-26","2026-09-15","https://www.boamp.fr/pages/avis/?q=idweb:26-74147"
"Marché de fourniture, de mise en oeuvre et de maintenance d'un système d'information des Ressources Humaines (SIRH) pour Espacil Habitat et Espacil Accession","service info","cloud","Bretagne","SERVICES","2026-07-26","","https://www.boamp.fr/pages/avis/?q=idweb:26-74165"
"PRESTATIONS DE SERVICES D'ASSURANCES - DOMMAGES AUX BIENS - RESPONSABILITE CIVILE - FLOTTE AUTOMOBILE - CYBER RISQUES","COMMUNAUTÉ DE COMMUNES DU TERNOIS","cybersécurité","Hauts-de-France","SERVICES","2026-07-26","2026-10-19","https://www.boamp.fr/pages/avis/?q=idweb:26-74626"
"Maintenance et amélioration du système informatique industriel et des automatismes du réseau d’assainissement parisien (en 2 lots)","VILLE de PARIS - DFA - SDA","cloud","Île-de-France","SERVICES","2026-07-26","2026-09-29","https://www.boamp.fr/pages/avis/?q=idweb:26-74512"
"Fourniture, installation, intégration, déploiement et maintenance d’un système d’information Gestionnaire de Réseau de Distribution (GRD), fournisseur et producteur d’électricité - RCM","REGIE COMMUNALE DE MONTDIDIER","cloud","Hauts-de-France","FOURNITURES","2026-07-26","","https://www.boamp.fr/pages/avis/?q=idweb:26-74563"
"ERE 7","Ministère de l'Intérieur","cloud","Île-de-France","FOURNITURES","2026-07-26","2026-07-28","https://www.boamp.fr/pages/avis/?q=idweb:26-74382"
"Achat de fournitures dentaires et matériels spécifiques pour les centres municipaux de santé de la ville de Montreuil","Mairie de Montreuil","cloud","Île-de-France","FOURNITURES","2026-07-25","2026-09-07","https://www.boamp.fr/pages/avis/?q=idweb:26-73960"
"TIERCE MAINTENANCE APPLICATIVE DE LA PLATEFORME MES DEMARCHES EN NOUVELLE-AQUITAINE (PORTAIL DE GESTION DES SUBVENTIONS REGIONALES ET EUROPEENNES) ET DE SES COMPOSANTS","Région Nouvelle-Aquitaine","cloud","Nouvelle-Aquitaine","SERVICES","2026-07-24","2026-09-21","https://www.boamp.fr/pages/avis/?q=idweb:26-73306"
"MARCHE PUBLIC DE SERVICES D’ASSURANCE DES RISQUES CYBER","CHU Amiens-PICARDIE","cybersécurité","Hauts-de-France","SERVICES","2026-07-24","2026-09-18","https://www.boamp.fr/pages/avis/?q=idweb:26-73784"
"Marché d'assurances couvrant les risques de dommages aux biens, responsabilité civile, flotte automobile et cyber risques","COMMUNAUTE DE COMMUNES DES BARONNIES EN DROME PROVENCALE","cybersécurité","Auvergne-Rhône-Alpes","SERVICES","2026-07-23","2026-10-05","https://www.boamp.fr/pages/avis/?q=idweb:26-73063"
"INFOGERANCE DU SYSTEME D'INFORMATION","COMMUNAUTE D'AGGLOMERATION DE MONTELIMAR AGGLOMERATION","cloud","Auvergne-Rhône-Alpes","SERVICES","2026-07-22","2026-07-29","https://www.boamp.fr/pages/avis/?q=idweb:26-72338"
"La conception, la fourniture, la livraison, l’installation, la configuration, la migration, la mise en service, le transfert de compétences ainsi que la maintenance de la nouvelle infrastructure.","CAFAT","cloud","Outre-mer","FOURNITURES","2026-07-22","2026-08-17","https://www.boamp.fr/pages/avis/?q=idweb:26-73470"
"PRESTATIONS DE MAINTENANCE, CONCEPTION, REALISATION ET SUPPORT D’APPLICATIONS EN TECHNOLOGIE .NET","AMF","cloud","Île-de-France","SERVICES","2026-07-21","2026-09-16","https://www.boamp.fr/pages/avis/?q=idweb:26-71946"
"Groupement de commandes pour les assurances ""cyber risques"" 2027 - 2029","CIG Versailles","cybersécurité","Île-de-France","SERVICES","2026-07-21","","https://www.boamp.fr/pages/avis/?q=idweb:26-72018"
"Fourniture et livraison de vaisselle pour les services de la ville et de son Ccas et de la ville de la Celle Saint Cloud","Ville de Versailles","cloud","Île-de-France","FOURNITURES","2026-07-21","2026-09-21","https://www.boamp.fr/pages/avis/?q=idweb:26-72475"
"Fourniture, installation et mise en service de matériels informatiques pour le projet ACAI","UNIVERSITE DE GUYANE","cloud","Guyane","FOURNITURES","2026-07-19","2026-09-01","https://www.boamp.fr/pages/avis/?q=idweb:26-71569"
"Le présent marché a donc pour objet l’administration, la maintenance, l’animation, le développement, et la gestion des sites numériques de l’ EDMP de l’Université.","UNIVERSITE PARIS-PANTHEON-ASSAS","cloud","Hauts-de-France","SERVICES","2026-07-18","2026-09-03","https://www.boamp.fr/pages/avis/?q=idweb:26-70944"
"Développement et maintenance des sites Web avec le CMS.EOLAS et Infogérance des serveurs WEB","GRENOBLE ALPES METROPOLE","cloud","Auvergne-Rhône-Alpes","SERVICES","2026-07-18","2026-07-31","https://www.boamp.fr/pages/avis/?q=idweb:26-71175"
"Maintenance de materiel informatique et de téléphonie","MOSELL A","cloud","Grand Est","SERVICES","2026-07-17","2026-09-11","https://www.boamp.fr/pages/avis/?q=idweb:26-71550"
"Remplacement, extension et maintenance du système de de supervision des équipement de vidéoprotection","Aéroport de La Réunion Roland Garros (974)","cloud","La Réunion","FOURNITURES","2026-07-16","","https://www.boamp.fr/pages/avis/?q=idweb:26-70324"
"Marché de Maintenance technique et évolutive relative au progiciel SAGE FRP TREASURY","CAISSE CENTRALE MSA","cloud","Île-de-France","SERVICES","2026-07-16","2026-07-29","https://www.boamp.fr/pages/avis/?q=idweb:26-70963"
"Tierce maintenance de matériels d'infrastructure et prestations associées","D.R.S","cloud","Île-de-France","SERVICES","2026-07-15","2026-09-15","https://www.boamp.fr/pages/avis/?q=idweb:26-69996"
"Extension Et Entretien Des Systemes De Cablage Et Des Supports Passifs De Reseaux De Communication","Grand port fluvio maritime de l'axe Seine - Direction territoriale du Havre","cloud","Normandie","TRAVAUX","2026-07-15","2026-09-04","https://www.boamp.fr/pages/avis/?q=idweb:26-70451"
"Maintenance des logiciels et automates de gestion et supervision des zones piétonnes","Orléans Métropole","cloud","Centre-Val de Loire","SERVICES","2026-07-14","2026-09-30","https://www.boamp.fr/pages/avis/?q=idweb:26-69803"
