review_id,source_stratum,anchor_episode_id,candidate_episode_id,pair_key,selection_text_component
R001,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-8889e78fb48b8843,EP-f86bb4cfcae5d224,EP-8889e78fb48b8843|EP-f86bb4cfcae5d224,1.0
R002,BUYER_DECLARED_RESOLVED,EP-5bf2409be0fbc70f,EP-54357d2d674da33a,EP-5bf2409be0fbc70f|EP-54357d2d674da33a,
R003,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-cf4635d38ed06887,EP-85fedf749f9afd78,EP-cf4635d38ed06887|EP-85fedf749f9afd78,1.0
R004,BUYER_DECLARED_RESOLVED,EP-9319f210f867a12d,EP-6d9b14c4db08e279,EP-9319f210f867a12d|EP-6d9b14c4db08e279,
R005,BUYER_DECLARED_RESOLVED,EP-ce2f1e4e8ea0135e,EP-09c03698e5a78f84,EP-ce2f1e4e8ea0135e|EP-09c03698e5a78f84,
R006,BUYER_DECLARED_RESOLVED,EP-450af94ec5b601b6,EP-9816ba35719cbc6b,EP-450af94ec5b601b6|EP-9816ba35719cbc6b,
R007,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-7dc65bdebca4d29d,EP-e4745b5db29566e1,EP-7dc65bdebca4d29d|EP-e4745b5db29566e1,1.0
R008,BUYER_DECLARED_RESOLVED,EP-1f74e28b6a1af2ed,EP-593e5f25e0bcf4ff,EP-1f74e28b6a1af2ed|EP-593e5f25e0bcf4ff,
R009,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-d3119284a7288071,EP-1288e55b1b23ec0f,EP-d3119284a7288071|EP-1288e55b1b23ec0f,1.0
R010,BUYER_DECLARED_RESOLVED,EP-b832ee56695a8256,EP-3e6deb18c9a7e88f,EP-b832ee56695a8256|EP-3e6deb18c9a7e88f,
R011,PRIMARY_ACCEPTED,EP-7a2172bba5199804,EP-35aaf1750511fccf,EP-7a2172bba5199804|EP-35aaf1750511fccf,0.8615984554854688
R012,PRIMARY_ACCEPTED,EP-9559a5f1a0068288,EP-690a816090fa2f49,EP-9559a5f1a0068288|EP-690a816090fa2f49,0.7717322571810653
R013,HIGH_SIMILARITY_STRUCTURAL_NEGATIVE,EP-d2a14e3940256dfd,EP-0ae7056ee5c19210,EP-d2a14e3940256dfd|EP-0ae7056ee5c19210,1.0
R014,PRIMARY_ACCEPTED,EP-73986c79a2958308,EP-2cecff77f30d5037,EP-73986c79a2958308|EP-2cecff77f30d5037,0.7207553560786342
