date,records
2015-03-02,481
2015-03-03,691
2015-03-04,713
2015-03-05,622
2015-03-06,792
2015-03-07,2
2015-03-08,2
2015-03-09,745
2015-03-10,734
2015-03-11,689
2015-03-12,573
2015-03-13,682
2015-03-14,1
2015-03-15,1
2015-03-16,890
2015-03-17,735
2015-03-18,780
2015-03-19,679
2015-03-20,746
2015-03-21,4
2015-03-23,789
2015-03-24,824
2015-03-25,648
2015-03-26,752
2015-03-27,709
2015-03-28,4
2015-03-29,1
2015-03-30,768
2015-03-31,842
2015-04-01,714
2015-04-02,768
2015-04-03,709
2015-04-04,2
2015-04-06,1
2015-04-07,702
2015-04-08,694
2015-04-09,563
2015-04-10,826
2015-04-11,2
2015-04-13,964
2015-04-14,824
2015-04-15,634
2015-04-16,690
2015-04-17,910
2015-04-18,4
2015-04-20,904
2015-04-21,817
2015-04-22,747
2015-04-23,819
2015-04-24,801
2015-04-25,3
2015-04-27,768
2015-04-28,655
2015-04-29,825
2015-04-30,805
2015-05-01,1
2015-05-02,2
2015-05-03,2
2015-05-04,1263
2015-05-05,752
2015-05-06,657
2015-05-07,805
2015-05-08,5
2015-05-09,3
2015-05-10,1
2015-05-11,824
2015-05-12,812
2015-05-13,724
2015-05-14,4
2015-05-15,703
2015-05-17,2
2015-05-18,564
2015-05-19,670
2015-05-20,711
2015-05-21,582
2015-05-22,778
2015-05-23,5
2015-05-26,688
2015-05-27,805
2015-05-28,757
2015-05-29,710
2015-05-30,5
2015-06-01,930
2015-06-02,723
2015-06-03,680
2015-06-04,730
2015-06-05,871
2015-06-06,4
2015-06-08,728
2015-06-09,853
2015-06-10,743
2015-06-11,695
2015-06-12,668
2015-06-13,3
2015-06-14,1
2015-06-15,929
2015-06-16,815
2015-06-17,531
2015-06-18,771
2015-06-19,676
2015-06-20,3
2015-06-22,723
2015-06-23,641
2015-06-24,810
2015-06-25,608
2015-06-26,656
2015-06-27,3
2015-06-28,2
2015-06-29,722
2015-06-30,780
2015-07-01,771
2015-07-02,688
2015-07-03,900
2015-07-04,3
2015-07-06,886
2015-07-07,890
2015-07-08,595
2015-07-09,1059
2015-07-10,1109
2015-07-11,3
2015-07-12,1
2015-07-13,932
2015-07-14,1
2015-07-15,465
2015-07-16,715
2015-07-17,734
2015-07-18,3
2015-07-19,2
2015-07-20,769
2015-07-21,747
2015-07-22,782
2015-07-23,761
2015-07-24,702
2015-07-27,973
2015-07-28,805
2015-07-29,710
2015-07-30,735
2015-07-31,752
2015-08-01,4
2015-08-03,598
2015-08-04,584
2015-08-05,781
2015-08-06,617
2015-08-07,616
2015-08-08,1
2015-08-09,3
2015-08-10,742
2015-08-11,526
2015-08-12,574
2015-08-13,435
2015-08-14,446
2015-08-15,1
2015-08-16,1
2015-08-17,514
2015-08-18,463
2015-08-19,391
2015-08-20,554
2015-08-21,521
2015-08-23,1
2015-08-24,448
2015-08-25,603
2015-08-26,461
2015-08-27,532
2015-08-28,490
2015-08-29,2
2015-08-31,597
2015-09-01,423
2015-09-02,540
2015-09-03,640
2015-09-04,584
2015-09-05,2
2015-09-07,577
2015-09-08,657
2015-09-09,601
2015-09-10,749
2015-09-11,669
2015-09-12,1
2015-09-14,643
2015-09-15,661
2015-09-16,620
2015-09-17,589
2015-09-18,724
2015-09-19,3
2015-09-20,1
2015-09-21,600
2015-09-22,622
2015-09-23,645
2015-09-24,468
2015-09-25,700
2015-09-26,3
2015-09-27,2
2015-09-28,780
2015-09-29,675
2015-09-30,518
2015-10-01,633
2015-10-02,655
2015-10-03,2
2015-10-04,2
2015-10-05,976
2015-10-06,660
2015-10-07,709
2015-10-08,581
2015-10-09,797
2015-10-10,2
2015-10-12,654
2015-10-13,670
2015-10-14,738
2015-10-15,652
2015-10-16,811
2015-10-17,6
2015-10-18,1
2015-10-19,1063
2015-10-20,720
2015-10-21,625
2015-10-22,659
2015-10-23,764
2015-10-24,3
2015-10-25,1
2015-10-26,654
2015-10-27,559
2015-10-28,614
2015-10-29,678
2015-10-30,544
2015-10-31,2
2015-11-02,489
2015-11-03,492
2015-11-04,747
2015-11-05,588
2015-11-06,790
2015-11-07,4
2015-11-08,2
2015-11-09,820
2015-11-10,628
2015-11-11,3
2015-11-12,455
2015-11-13,684
2015-11-14,3
2015-11-16,708
2015-11-17,538
2015-11-18,609
2015-11-19,602
2015-11-20,599
2015-11-21,1
2015-11-22,2
2015-11-23,599
2015-11-24,454
2015-11-25,496
2015-11-26,795
2015-11-27,588
2015-11-28,1
2015-11-30,694
2015-12-01,612
2015-12-02,571
2015-12-03,458
2015-12-04,665
2015-12-05,3
2015-12-07,558
2015-12-08,586
2015-12-09,516
2015-12-10,536
2015-12-11,455
2015-12-12,3
2015-12-13,1
2015-12-14,879
2015-12-15,739
2015-12-16,635
2015-12-17,665
2015-12-18,602
2015-12-19,1
2015-12-21,720
2015-12-22,673
2015-12-23,671
2015-12-24,767
2015-12-28,461
2015-12-29,356
2015-12-30,310
2015-12-31,331
2016-01-04,465
2016-01-05,573
2016-01-06,446
2016-01-07,697
2016-01-08,707
2016-01-09,2
2016-01-11,731
2016-01-12,622
2016-01-13,803
2016-01-14,674
2016-01-15,604
2016-01-18,715
2016-01-19,512
2016-01-20,629
2016-01-21,680
2016-01-22,463
2016-01-24,1
2016-01-25,617
2016-01-26,627
2016-01-27,600
2016-01-28,719
2016-01-29,661
2016-01-30,6
2016-01-31,1
2016-02-01,747
2016-02-02,652
2016-02-03,521
2016-02-04,729
2016-02-05,667
2016-02-06,3
2016-02-08,770
2016-02-09,695
2016-02-10,584
2016-02-11,625
2016-02-12,600
2016-02-13,5
2016-02-14,1
2016-02-15,799
2016-02-16,599
2016-02-17,590
2016-02-18,528
2016-02-19,650
2016-02-20,2
2016-02-22,691
2016-02-23,572
2016-02-24,455
2016-02-25,659
2016-02-26,588
2016-02-29,465
2016-03-01,683
2016-03-02,527
2016-03-03,597
2016-03-04,557
2016-03-05,1
2016-03-07,808
2016-03-08,626
2016-03-09,615
2016-03-10,661
2016-03-11,677
2016-03-12,1
2016-03-14,690
2016-03-15,677
2016-03-16,669
2016-03-17,622
2016-03-18,568
2016-03-19,2
2016-03-20,1
2016-03-21,862
2016-03-22,806
2016-03-23,597
2016-03-24,790
2016-03-25,820
2016-03-26,2
2016-03-29,1096
2016-03-30,1364
2016-03-31,1882
2016-04-01,380
2016-04-04,186
2016-04-05,196
2016-04-06,261
2016-04-07,267
2016-04-08,425
2016-04-09,107
2016-04-10,82
2016-04-11,425
2016-04-12,474
2016-04-13,278
2016-04-14,432
2016-04-15,390
2016-04-16,79
2016-04-17,80
2016-04-18,404
2016-04-19,497
2016-04-20,313
2016-04-21,363
2016-04-22,391
2016-04-23,80
2016-04-24,39
2016-04-25,628
2016-04-26,502
2016-04-27,454
2016-04-28,466
2016-04-29,880
2016-04-30,148
2016-05-01,65
2016-05-02,1200
2016-05-03,453
2016-05-04,560
2016-05-05,199
2016-05-06,601
2016-05-07,299
2016-05-08,5
2016-05-09,322
2016-05-10,334
2016-05-11,573
2016-05-12,547
2016-05-13,739
2016-05-14,368
2016-05-15,2
2016-05-16,97
2016-05-17,559
2016-05-18,389
2016-05-19,321
2016-05-20,569
2016-05-21,123
2016-05-22,100
2016-05-23,1181
2016-05-24,438
2016-05-25,453
2016-05-26,555
2016-05-27,517
2016-05-28,114
2016-05-29,146
2016-05-30,1236
2016-05-31,444
2016-06-01,639
2016-06-02,528
2016-06-03,704
2016-06-04,154
2016-06-05,30
2016-06-06,823
2016-06-07,528
2016-06-08,704
2016-06-09,562
2016-06-10,726
2016-06-11,137
2016-06-12,44
2016-06-13,744
2016-06-14,439
2016-06-15,653
2016-06-16,697
