year,family_for_plot,records,year_total,share
2015,Divers,56,144480,0.0003875968992248062
2015,Délégation de service public,1808,144480,0.012513842746400886
2015,Marchés <90 k€ (MAPA),31589,144480,0.21863925802879292
2015,Marchés entre 90 k€ et seuils européens,53898,144480,0.3730481727574751
2015,Marchés européens,57129,144480,0.3954111295681063
2016,Divers,128,156034,0.0008203340297627441
2016,Délégation de service public,1707,156034,0.010939923350039094
2016,Marchés <90 k€ (MAPA),28872,156034,0.18503659458835894
2016,Marchés entre 90 k€ et seuils européens,60478,156034,0.3875950113436815
2016,Marchés européens,64849,156034,0.4156081366881577
2017,Divers,188,156366,0.0012023074069810573
2017,Délégation de service public,1101,156366,0.007041172633436937
2017,Marchés <90 k€ (MAPA),24828,156366,0.15878132074747708
2017,Marchés entre 90 k€ et seuils européens,60830,156366,0.3890231891843495
2017,Marchés européens,69419,156366,0.4439520100277554
2018,Divers,208,156060,0.0013328207099833397
2018,Délégation de service public,1097,156060,0.007029347686787133
2018,Marchés <90 k€ (MAPA),22131,156060,0.14181084198385235
2018,Marchés entre 90 k€ et seuils européens,61900,156060,0.396642317057542
2018,Marchés européens,70724,156060,0.4531846725618352
2019,Divers,187,158839,0.001177292730374782
2019,Délégation de service public,986,158839,0.006207543487430669
2019,Marchés <90 k€ (MAPA),21471,158839,0.13517461076939544
2019,Marchés entre 90 k€ et seuils européens,63299,158839,0.39851044139033864
2019,Marchés européens,72896,158839,0.4589301116224605
2020,Divers,145,134138,0.0010809763079813327
2020,Délégation de service public,674,134138,0.005024676079858056
2020,Marchés <90 k€ (MAPA),13793,134138,0.1028269394205967
2020,Marchés entre 90 k€ et seuils européens,53066,134138,0.3956075086850855
2020,Marchés européens,66460,134138,0.4954598995064784
2021,Divers,181,145161,0.0012468913826716543
2021,Délégation de service public,952,145161,0.006558235338692899
2021,Marchés <90 k€ (MAPA),13196,145161,0.09090595958969695
2021,Marchés entre 90 k€ et seuils européens,56762,145161,0.39102789316689746
2021,Marchés européens,74070,145161,0.510261020522041
2022,Divers,268,146286,0.0018320276718209534
2022,Délégation de service public,1061,146286,0.007252915521649372
2022,Marchés <90 k€ (MAPA),12900,146286,0.08818342151675485
2022,Marchés entre 90 k€ et seuils européens,54787,146286,0.37451977632856187
2022,Marchés européens,77270,146286,0.5282118589612129
2023,Divers,209,149300,0.0013998660415271266
2023,Délégation de service public,999,149300,0.006691225720026792
2023,Marchés <90 k€ (MAPA),11728,149300,0.07855324849296719
2023,Marchés entre 90 k€ et seuils européens,55247,149300,0.370040187541862
2023,Marchés européens,81117,149300,0.5433154722036169
2024,Divers,3,136625,2.1957913998170175e-05
2024,Délégation de service public,679,136625,0.004969807868252516
2024,Marchés <90 k€ (MAPA),9033,136625,0.06611527904849039
2024,Marchés entre 90 k€ et seuils européens,53006,136625,0.38796706312900275
2024,Marchés européens,73904,136625,0.5409258920402562
2025,Divers,56,137423,0.00040750092779229095
2025,Délégation de service public,667,137423,0.004853627122097465
2025,Marchés <90 k€ (MAPA),9251,137423,0.06731769791083006
2025,Marchés entre 90 k€ et seuils européens,50662,137423,0.3686573572109472
2025,Marchés européens,76787,137423,0.558763816828333
