month,records,year,month_number
2015-03-01,2050,2015,3
2015-04-01,2091,2015,4
2015-05-01,1730,2015,5
2015-06-01,2021,2015,6
2015-07-01,2258,2015,7
2015-08-01,1259,2015,8
2015-09-01,1822,2015,9
2015-10-01,1934,2015,10
2015-11-01,1668,2015,11
2015-12-01,1629,2015,12
2016-01-01,1646,2016,1
2016-02-01,1682,2016,2
2016-03-01,2225,2016,3
2016-04-01,1189,2016,4
2016-05-01,1849,2016,5
2016-06-01,1986,2016,6
2016-07-01,2057,2016,7
2016-08-01,1167,2016,8
2016-09-01,1716,2016,9
2016-10-01,1816,2016,10
2016-11-01,1439,2016,11
2016-12-01,1577,2016,12
2017-01-01,1619,2017,1
2017-02-01,1511,2017,2
2017-03-01,1848,2017,3
2017-04-01,1785,2017,4
2017-05-01,1804,2017,5
2017-06-01,1817,2017,6
2017-07-01,1983,2017,7
2017-08-01,1243,2017,8
2017-09-01,1698,2017,9
2017-10-01,1958,2017,10
2017-11-01,1605,2017,11
2017-12-01,1545,2017,12
2018-01-01,1629,2018,1
2018-02-01,1821,2018,2
2018-03-01,1871,2018,3
2018-04-01,1863,2018,4
2018-05-01,1589,2018,5
2018-06-01,2001,2018,6
2018-07-01,2101,2018,7
2018-08-01,1327,2018,8
2018-09-01,1635,2018,9
2018-10-01,1904,2018,10
2018-11-01,1595,2018,11
2018-12-01,1529,2018,12
2019-01-01,1794,2019,1
2019-02-01,1718,2019,2
2019-03-01,2367,2019,3
2019-04-01,1720,2019,4
2019-05-01,1976,2019,5
2019-06-01,1752,2019,6
2019-07-01,2131,2019,7
2019-08-01,1332,2019,8
2019-09-01,1607,2019,9
2019-10-01,1952,2019,10
2019-11-01,1585,2019,11
2019-12-01,1667,2019,12
2020-01-01,1741,2020,1
2020-02-01,1646,2020,2
2020-03-01,1950,2020,3
2020-04-01,1481,2020,4
2020-05-01,1387,2020,5
2020-06-01,1554,2020,6
2020-07-01,1821,2020,7
2020-08-01,1080,2020,8
2020-09-01,1496,2020,9
2020-10-01,1813,2020,10
2020-11-01,1575,2020,11
2020-12-01,1628,2020,12
2021-01-01,1757,2021,1
2021-02-01,1808,2021,2
2021-03-01,1917,2021,3
2021-04-01,1917,2021,4
2021-05-01,1652,2021,5
2021-06-01,1934,2021,6
2021-07-01,1986,2021,7
2021-08-01,1088,2021,8
2021-09-01,1734,2021,9
2021-10-01,1928,2021,10
2021-11-01,1382,2021,11
2021-12-01,1724,2021,12
2022-01-01,1713,2022,1
2022-02-01,1703,2022,2
2022-03-01,2084,2022,3
2022-04-01,1841,2022,4
2022-05-01,2021,2022,5
2022-06-01,1942,2022,6
2022-07-01,1969,2022,7
2022-08-01,1129,2022,8
2022-09-01,1778,2022,9
2022-10-01,1976,2022,10
2022-11-01,1469,2022,11
2022-12-01,1724,2022,12
2023-01-01,1839,2023,1
2023-02-01,1659,2023,2
2023-03-01,2077,2023,3
2023-04-01,2008,2023,4
2023-05-01,1743,2023,5
2023-06-01,2062,2023,6
2023-07-01,2023,2023,7
2023-08-01,1194,2023,8
2023-09-01,1876,2023,9
2023-10-01,2078,2023,10
2023-11-01,1685,2023,11
2023-12-01,1768,2023,12
2024-01-01,1383,2024,1
2024-02-01,1941,2024,2
2024-03-01,1820,2024,3
2024-04-01,1891,2024,4
2024-05-01,1661,2024,5
2024-06-01,1968,2024,6
2024-07-01,1994,2024,7
2024-08-01,1142,2024,8
2024-09-01,1608,2024,9
2024-10-01,1991,2024,10
2024-11-01,1493,2024,11
2024-12-01,1615,2024,12
2025-01-01,1846,2025,1
2025-02-01,1639,2025,2
2025-03-01,1873,2025,3
2025-04-01,1919,2025,4
2025-05-01,1738,2025,5
2025-06-01,1756,2025,6
2025-07-01,2004,2025,7
2025-08-01,1160,2025,8
2025-09-01,1735,2025,9
2025-10-01,1876,2025,10
2025-11-01,1533,2025,11
2025-12-01,1675,2025,12
