month,records,year,month_number,month_name
2015-03-01,15899,2015,3,Mar
2015-04-01,16151,2015,4,Apr
2015-05-01,12835,2015,5,May
2015-06-01,16299,2015,6,Jun
2015-07-01,17493,2015,7,Jul
2015-08-01,11506,2015,8,Aug
2015-09-01,13697,2015,9,Sep
2015-10-01,15435,2015,10,Oct
2015-11-01,12391,2015,11,Nov
2015-12-01,12774,2015,12,Dec
2016-01-01,12555,2016,1,Jan
2016-02-01,13197,2016,2,Feb
2016-03-01,17201,2016,3,Mar
2016-04-01,9227,2016,4,Apr
2016-05-01,13509,2016,5,May
2016-06-01,14865,2016,6,Jun
2016-07-01,14952,2016,7,Jul
2016-08-01,10462,2016,8,Aug
2016-09-01,12770,2016,9,Sep
2016-10-01,13902,2016,10,Oct
2016-11-01,11286,2016,11,Nov
2016-12-01,12108,2016,12,Dec
2017-01-01,12303,2017,1,Jan
2017-02-01,12002,2017,2,Feb
2017-03-01,14404,2017,3,Mar
2017-04-01,13486,2017,4,Apr
2017-05-01,13359,2017,5,May
2017-06-01,14518,2017,6,Jun
2017-07-01,14601,2017,7,Jul
2017-08-01,10898,2017,8,Aug
2017-09-01,12267,2017,9,Sep
2017-10-01,14640,2017,10,Oct
2017-11-01,12068,2017,11,Nov
2017-12-01,11820,2017,12,Dec
2018-01-01,11939,2018,1,Jan
2018-02-01,12538,2018,2,Feb
2018-03-01,14253,2018,3,Mar
2018-04-01,13941,2018,4,Apr
2018-05-01,12430,2018,5,May
2018-06-01,14744,2018,6,Jun
2018-07-01,14818,2018,7,Jul
2018-08-01,10995,2018,8,Aug
2018-09-01,12529,2018,9,Sep
2018-10-01,14480,2018,10,Oct
2018-11-01,11716,2018,11,Nov
2018-12-01,11677,2018,12,Dec
2019-01-01,13083,2019,1,Jan
2019-02-01,13260,2019,2,Feb
2019-03-01,16662,2019,3,Mar
2019-04-01,12883,2019,4,Apr
2019-05-01,14125,2019,5,May
2019-06-01,13047,2019,6,Jun
2019-07-01,15917,2019,7,Jul
2019-08-01,10421,2019,8,Aug
2019-09-01,11939,2019,9,Sep
2019-10-01,14657,2019,10,Oct
2019-11-01,11172,2019,11,Nov
2019-12-01,11673,2019,12,Dec
2020-01-01,12330,2020,1,Jan
2020-02-01,11404,2020,2,Feb
2020-03-01,12514,2020,3,Mar
2020-04-01,10035,2020,4,Apr
2020-05-01,9667,2020,5,May
2020-06-01,11084,2020,6,Jun
2020-07-01,12362,2020,7,Jul
2020-08-01,8639,2020,8,Aug
2020-09-01,10685,2020,9,Sep
2020-10-01,13050,2020,10,Oct
2020-11-01,10831,2020,11,Nov
2020-12-01,11537,2020,12,Dec
2021-01-01,11876,2021,1,Jan
2021-02-01,11594,2021,2,Feb
2021-03-01,13446,2021,3,Mar
2021-04-01,12958,2021,4,Apr
2021-05-01,12025,2021,5,May
2021-06-01,13298,2021,6,Jun
2021-07-01,13952,2021,7,Jul
2021-08-01,9059,2021,8,Aug
2021-09-01,12052,2021,9,Sep
2021-10-01,13324,2021,10,Oct
2021-11-01,9881,2021,11,Nov
2021-12-01,11696,2021,12,Dec
2022-01-01,11937,2022,1,Jan
2022-02-01,11569,2022,2,Feb
2022-03-01,13341,2022,3,Mar
2022-04-01,12965,2022,4,Apr
2022-05-01,13098,2022,5,May
2022-06-01,13151,2022,6,Jun
2022-07-01,13936,2022,7,Jul
2022-08-01,9195,2022,8,Aug
2022-09-01,11854,2022,9,Sep
2022-10-01,13569,2022,10,Oct
2022-11-01,10173,2022,11,Nov
2022-12-01,11498,2022,12,Dec
2023-01-01,12036,2023,1,Jan
2023-02-01,11298,2023,2,Feb
2023-03-01,13777,2023,3,Mar
2023-04-01,13736,2023,4,Apr
2023-05-01,11490,2023,5,May
2023-06-01,14067,2023,6,Jun
2023-07-01,14339,2023,7,Jul
2023-08-01,9549,2023,8,Aug
2023-09-01,12013,2023,9,Sep
2023-10-01,13693,2023,10,Oct
2023-11-01,11420,2023,11,Nov
2023-12-01,11882,2023,12,Dec
2024-01-01,8728,2024,1,Jan
2024-02-01,12094,2024,2,Feb
2024-03-01,12258,2024,3,Mar
2024-04-01,12711,2024,4,Apr
2024-05-01,11226,2024,5,May
2024-06-01,12435,2024,6,Jun
2024-07-01,13428,2024,7,Jul
2024-08-01,8840,2024,8,Aug
2024-09-01,10896,2024,9,Sep
2024-10-01,13491,2024,10,Oct
2024-11-01,9810,2024,11,Nov
2024-12-01,10708,2024,12,Dec
2025-01-01,11648,2025,1,Jan
2025-02-01,11209,2025,2,Feb
2025-03-01,12181,2025,3,Mar
2025-04-01,13043,2025,4,Apr
2025-05-01,11237,2025,5,May
2025-06-01,11561,2025,6,Jun
2025-07-01,13536,2025,7,Jul
2025-08-01,8807,2025,8,Aug
2025-09-01,10860,2025,9,Sep
2025-10-01,12628,2025,10,Oct
2025-11-01,9900,2025,11,Nov
2025-12-01,10813,2025,12,Dec
